Model,MPG,Cylinders,Displacement,Horsepower,Year,Origin
chevrolet woody,24.5,4,98,60,76,US
vw rabbit,29,4,90,70,76,Europe
honda civic,33,4,91,53,76,Japan
dodge aspen se,20,6,225,100,76,US
ford granada ghia,18,6,250,78,76,US
pontiac ventura sj,18.5,6,250,110,76,US
amc pacer d/l,17.5,6,258,95,76,US
volkswagen rabbit,29.5,4,97,71,76,Europe
datsun b-210,32,4,85,70,76,Japan
toyota corolla,28,4,97,75,76,Japan
ford pinto,26.5,4,140,72,76,US
volvo 245,20,4,130,102,76,Europe
plymouth volare premier v8,13,8,318,150,76,US
peugeot 504,19,4,120,88,76,Europe
toyota mark ii,19,6,156,108,76,Japan
mercedes-benz 280s,16.5,6,168,120,76,Europe
cadillac seville,16.5,8,350,180,76,US
chevy c10,13,8,350,145,76,US
ford f108,13,8,302,130,76,US
dodge d100,13,8,318,150,76,US
honda accord cvcc,31.5,4,98,68,77,Japan
buick opel isuzu deluxe,30,4,111,80,77,US
renault 5 gtl,36,4,79,58,77,Europe
plymouth arrow gs,25.5,4,122,96,77,US
datsun f-10 hatchback,33.5,4,85,70,77,Japan
chevrolet caprice classic,17.5,8,305,145,77,US
oldsmobile cutlass supreme,17,8,260,110,77,US
dodge monaco brougham,15.5,8,318,145,77,US
mercury cougar brougham,15,8,302,130,77,US
chevrolet concours,17.5,6,250,110,77,US
buick skylark,20.5,6,231,105,77,US
plymouth volare custom,19,6,225,100,77,US
ford granada,18.5,6,250,98,77,US
pontiac grand prix lj,16,8,400,180,77,US
chevrolet monte carlo landau,15.5,8,350,170,77,US
chrysler cordoba,15.5,8,400,190,77,US
ford thunderbird,16,8,351,149,77,US
volkswagen rabbit custom,29,4,97,78,77,Europe
pontiac sunbird coupe,24.5,4,151,88,77,US
toyota corolla liftback,26,4,97,75,77,Japan
ford mustang ii 2+2,25.5,4,140,89,77,US
chevrolet chevette,30.5,4,98,63,77,US
dodge colt m/m,33.5,4,98,83,77,US
subaru dl,30,4,97,67,77,Japan
volkswagen dasher,30.5,4,97,78,77,Europe
datsun 810,22,6,146,97,77,Japan
bmw 320i,21.5,4,121,110,77,Europe
mazda rx-4,21.5,3,80,110,77,Japan
volkswagen rabbit custom diesel,43.1,4,90,48,78,Europe
ford fiesta,36.1,4,98,66,78,US
mazda glc deluxe,32.8,4,78,52,78,Japan
datsun b210 gx,39.4,4,85,70,78,Japan
honda civic cvcc,36.1,4,91,60,78,Japan
oldsmobile cutlass salon brougham,19.9,8,260,110,78,US
dodge diplomat,19.4,8,318,140,78,US
mercury monarch ghia,20.2,8,302,139,78,US
pontiac phoenix lj,19.2,6,231,105,78,US
chevrolet malibu,20.5,6,200,95,78,US
ford fairmont (auto),20.2,6,200,85,78,US
ford fairmont (man),25.1,4,140,88,78,US
plymouth volare,20.5,6,225,100,78,US
amc concord,19.4,6,232,90,78,US
buick century special,20.6,6,231,105,78,US
mercury zephyr,20.8,6,200,85,78,US
dodge aspen,18.6,6,225,110,78,US
amc concord d/l,18.1,6,258,120,78,US
chevrolet monte carlo landau,19.2,8,305,145,78,US
buick regal sport coupe (turbo),17.7,6,231,165,78,US
ford futura,18.1,8,302,139,78,US
dodge magnum xe,17.5,8,318,140,78,US
chevrolet chevette,30,4,98,68,78,US
toyota corona,27.5,4,134,95,78,Japan
datsun 510,27.2,4,119,97,78,Japan
dodge omni,30.9,4,105,75,78,US
toyota celica gt liftback,21.1,4,134,95,78,Japan
plymouth sapporo,23.2,4,156,105,78,US
oldsmobile starfire sx,23.8,4,151,85,78,US
datsun 200-sx,23.9,4,119,97,78,Japan
audi 5000,20.3,5,131,103,78,Europe
volvo 264gl,17,6,163,125,78,Europe
saab 99gle,21.6,4,121,115,78,Europe
peugeot 604sl,16.2,6,163,133,78,Europe
volkswagen scirocco,31.5,4,89,71,78,Europe
honda accord lx,29.5,4,98,68,78,Japan
pontiac lemans v6,21.5,6,231,115,79,US
mercury zephyr 6,19.8,6,200,85,79,US
ford fairmont 4,22.3,4,140,88,79,US
amc concord dl 6,20.2,6,232,90,79,US
dodge aspen 6,20.6,6,225,110,79,US
chevrolet caprice classic,17,8,305,130,79,US
ford ltd landau,17.6,8,302,129,79,US
mercury grand marquis,16.5,8,351,138,79,US
dodge st. regis,18.2,8,318,135,79,US
buick estate wagon (sw),16.9,8,350,155,79,US
ford country squire (sw),15.5,8,351,142,79,US
chevrolet malibu classic (sw),19.2,8,267,125,79,US
chrysler lebaron town @ country (sw),18.5,8,360,150,79,US
vw rabbit custom,31.9,4,89,71,79,Europe
maxda glc deluxe,34.1,4,86,65,79,Japan
dodge colt hatchback custom,35.7,4,98,80,79,US
amc spirit dl,27.4,4,121,80,79,US
mercedes benz 300d,25.4,5,183,77,79,Europe
cadillac eldorado,23,8,350,125,79,US
peugeot 504,27.2,4,141,71,79,Europe
oldsmobile cutlass salon brougham,23.9,8,260,90,79,US
plymouth horizon,34.2,4,105,70,79,US
plymouth horizon tc3,34.5,4,105,70,79,US
datsun 210,31.8,4,85,65,79,Japan
fiat strada custom,37.3,4,91,69,79,Europe
buick skylark limited,28.4,4,151,90,79,US
chevrolet citation,28.8,6,173,115,79,US
oldsmobile omega brougham,26.8,6,173,115,79,US
pontiac phoenix,33.5,4,151,90,79,US
vw rabbit,41.5,4,98,76,80,Europe
toyota corolla tercel,38.1,4,89,60,80,Japan
chevrolet chevette,32.1,4,98,70,80,US
datsun 310,37.2,4,86,65,80,Japan
chevrolet citation,28,4,151,90,80,US
ford fairmont,26.4,4,140,88,80,US
amc concord,24.3,4,151,90,80,US
dodge aspen,19.1,6,225,90,80,US
audi 4000,34.3,4,97,78,80,Europe
toyota corona liftback,29.8,4,134,90,80,Japan
mazda 626,31.3,4,120,75,80,Japan
datsun 510 hatchback,37,4,119,92,80,Japan
toyota corolla,32.2,4,108,75,80,Japan
mazda glc,46.6,4,86,65,80,Japan
dodge colt,27.9,4,156,105,80,US
datsun 210,40.8,4,85,65,80,Japan
vw rabbit c (diesel),44.3,4,90,48,80,Europe
vw dasher (diesel),43.4,4,90,48,80,Europe
audi 5000s (diesel),36.4,5,121,67,80,Europe
mercedes-benz 240d,30,4,146,67,80,Europe
honda civic 1500 gl,44.6,4,91,67,80,Japan
subaru dl,33.8,4,97,67,80,Japan
vokswagen rabbit,29.8,4,89,62,80,Europe
datsun 280-zx,32.7,6,168,132,80,Japan
mazda rx-7 gs,23.7,3,70,100,80,Japan
triumph tr7 coupe,35,4,122,88,80,Europe
honda accord,32.4,4,107,72,80,Japan
plymouth reliant,27.2,4,135,84,81,US
buick skylark,26.6,4,151,84,81,US
dodge aries wagon (sw),25.8,4,156,92,81,US
chevrolet citation,23.5,6,173,110,81,US
plymouth reliant,30,4,135,84,81,US
toyota starlet,39.1,4,79,58,81,Japan
plymouth champ,39,4,86,64,81,US
honda civic 1300,35.1,4,81,60,81,Japan
subaru,32.3,4,97,67,81,Japan
datsun 210 mpg,37,4,85,65,81,Japan
toyota tercel,37.7,4,89,62,81,Japan
mazda glc 4,34.1,4,91,68,81,Japan
plymouth horizon 4,34.7,4,105,63,81,US
ford escort 4w,34.4,4,98,65,81,US
ford escort 2h,29.9,4,98,65,81,US
volkswagen jetta,33,4,105,74,81,Europe
renault 18i,34.5,4,100,NA,81,Europe
honda prelude,33.7,4,107,75,81,Japan
toyota corolla,32.4,4,108,75,81,Japan
datsun 200sx,32.9,4,119,100,81,Japan
mazda 626,31.6,4,120,74,81,Japan
peugeot 505s turbo diesel,28.1,4,141,80,81,Europe
volvo diesel,30.7,6,145,76,81,Europe
toyota cressida,25.4,6,168,116,81,Japan
datsun 810 maxima,24.2,6,146,120,81,Japan
buick century,22.4,6,231,110,81,US
oldsmobile cutlass ls,26.6,8,350,105,81,US
ford granada gl,20.2,6,200,88,81,US
chrysler lebaron salon,17.6,6,225,85,81,US
chevrolet cavalier,28,4,112,88,82,US
chevrolet cavalier wagon,27,4,112,88,82,US
chevrolet cavalier 2-door,34,4,112,88,82,US
pontiac j2000 se hatchback,31,4,112,85,82,US
dodge aries se,29,4,135,84,82,US
pontiac phoenix,27,4,151,90,82,US
ford fairmont futura,24,4,140,92,82,US
amc concord dl,23,4,151,NA,82,US
volkswagen rabbit l,36,4,105,74,82,Europe
mazda glc custom l,37,4,91,68,82,Japan
mazda glc custom,31,4,91,68,82,Japan
plymouth horizon miser,38,4,105,63,82,US
mercury lynx l,36,4,98,70,82,US
nissan stanza xe,36,4,120,88,82,Japan
honda accord,36,4,107,75,82,Japan
toyota corolla,34,4,108,70,82,Japan
honda civic,38,4,91,67,82,Japan
honda civic (auto),32,4,91,67,82,Japan
datsun 310 gx,38,4,91,67,82,Japan
buick century limited,25,6,181,110,82,US
oldsmobile cutlass ciera (diesel),38,6,262,85,82,US
chrysler lebaron medallion,26,4,156,92,82,US
ford granada l,22,6,232,112,82,US
toyota celica gt,32,4,144,96,82,Japan
dodge charger 2.2,36,4,135,84,82,US
chevrolet camaro,27,4,151,90,82,US
ford mustang gl,27,4,140,86,82,US
vw pickup,44,4,97,52,82,Europe
dodge rampage,32,4,135,84,82,US
ford ranger,28,4,120,79,82,US
chevy s-10,31,4,119,82,82,US
